field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
callsign,CES1234,True,43455331323334,6,CES1234,True,0.0/0.0,True
lat,31.2304,True,2824872,0,31.230383212657742,True,1.6787342257629234e-05/4.2915354470099084e-05,True
lon,121.4737,True,3512422,1,121.47367035714876,True,2.964285123141508e-05/8.583070894019817e-05,True
altitude,9800.0,True,10800,2,9800.0,True,0.0/1.0,True
speed,230.5,True,2305,3,230.5,True,0.0/0.1,True
heading,86.0,True,8600,4,86.0,True,0.0/0.01,True
vertical_rate,0.0,True,32768,5,0.0,True,0.0/0.01,True
callsign,TEST0001,True,5445535430303031,6,TEST0001,True,0.0/0.0,True
lat,0.0,True,2097152,0,2.1457677235048322e-05,True,2.1457677235048322e-05/4.2915354470099084e-05,True
lon,0.0,True,2097152,1,4.2915354470096645e-05,True,4.2915354470096645e-05/8.583070894019817e-05,True
altitude,0.0,True,1000,2,0.0,True,0.0/1.0,True
speed,0.0,True,0,3,0.0,True,0.0/0.1,True
heading,0.0,True,0,4,0.0,True,0.0/0.01,True
vertical_rate,0.0,True,32768,5,0.0,True,0.0/0.01,True
callsign,,False,,6,,False,0.0/0.0,True
lat,30.2741,True,2802589,0,30.27410036900052,True,3.6900052080568457e-07/4.2915354470099084e-05,True
lon,120.1551,True,3497060,1,120.1551390064094,True,3.9006409394914954e-05/8.583070894019817e-05,True
altitude,7600.0,True,8600,2,7600.0,True,0.0/1.0,True
speed,,False,,3,,False,0.0/0.1,True
heading,270.0,True,27000,4,270.0,True,0.0/0.01,True
vertical_rate,-1.2,True,32648,5,-1.1999999999999886,True,1.1324274851176597e-14/0.01,True
